names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,sex,cluster
CG32544,4.2212687,1.0617929,2.429311398640866e-05,0.0008271194591629473,0.18858954041204437,Male,Central brain A type 1
AGO2,4.122296,1.1773727,3.7511486812026556e-05,0.0012192733673381112,0.16957210776545167,Male,Central brain A type 1
CG5934,3.679246,1.313371,0.00023392467356619034,0.006211999664702165,0.13576333861595352,Male,Central brain A type 1
Sf3b5,3.577703,1.3100545,0.0003466269088518546,0.008838986175722293,0.13681986265187532,Male,Central brain A type 1
frj,3.5729945,1.0115757,0.00035292237437928255,0.008980732403568007,0.16111991547807714,Male,Central brain A type 1
ND-AGGG,3.384646,1.4436302,0.0007127011778733332,0.016641982101720416,0.11516111991547807,Male,Central brain A type 1
CG17724,3.090855,2.3441222,0.00199581208998142,0.040544922607972544,0.0797675647120972,Male,Central brain A type 1
Hr38,-6.911793,-1.0354084,4.785648915192322e-12,4.4528453913953596e-10,0.24933967247754887,Male,Central brain A type 1
Cyt-c-p,18.558723,2.1970112,6.933339201421252e-77,8.451047152612364e-73,0.9037199124726477,Male,Central brain B cholinergic neurons
mt:lrRNA,18.519056,2.4151866,1.4495431280906725e-76,8.834240594148604e-73,0.975929978118162,Male,Central brain B cholinergic neurons
snRNA:7SKa,15.486836,2.2541442,4.257301674203674e-54,1.729741670228953e-50,0.8840262582056893,Male,Central brain B cholinergic neurons
Mic10b,13.345132,3.033801,1.2644622804280822e-40,3.8531326840344735e-37,0.6236323851203501,Male,Central brain B cholinergic neurons
sun,12.011723,1.5987662,3.083557776584483e-33,7.517097147757651e-30,0.7855579868708972,Male,Central brain B cholinergic neurons
flw,11.397686,1.5465572,4.293784428410168e-30,8.722823066315257e-27,0.774617067833698,Male,Central brain B cholinergic neurons
VhaM9.7-a,11.085349,1.2644622,1.4777295098370283e-28,1.6374586359457762e-25,0.8577680525164114,Male,Central brain B cholinergic neurons
CG7646,10.3189535,1.260742,5.785019836909268e-25,4.407100424505442e-22,0.8052516411378556,Male,Central brain B cholinergic neurons
CG42613,9.746291,1.1474547,1.9133066181419456e-22,1.1105378270729607e-19,0.8446389496717724,Male,Central brain B cholinergic neurons
Nca,9.341093,1.6724759,9.5344384924058e-21,4.842302949330596e-18,0.6039387308533917,Male,Central brain B cholinergic neurons
chic,7.9994087,1.1122899,1.2501806939167366e-15,3.4632846541252507e-13,0.7067833698030634,Male,Central brain B cholinergic neurons
mt:srRNA,7.041513,3.6574192,1.9016360117169593e-12,3.3112916209740025e-10,0.3041575492341357,Male,Central brain B cholinergic neurons
Tom6,6.9955425,1.3318669,2.6423482565010198e-12,4.473275402568185e-10,0.5295404814004376,Male,Central brain B cholinergic neurons
CG3009,6.4289217,1.116712,1.2851212843474092e-10,1.8428639217541847e-08,0.5820568927789934,Male,Central brain B cholinergic neurons
CG32544,6.30664,1.4986337,2.851578206282234e-10,3.722822599704892e-08,0.43326039387308535,Male,Central brain B cholinergic neurons
CG40045,6.173982,1.1447165,6.659107421221615e-10,8.03642181755151e-08,0.5317286652078774,Male,Central brain B cholinergic neurons
AcCoAS,6.049336,1.2680486,1.4544391112710566e-09,1.65683722684887e-07,0.47045951859956237,Male,Central brain B cholinergic neurons
CG31221,5.8256564,1.0627474,5.688856616887001e-09,5.592054298648037e-07,0.8905908096280087,Male,Central brain B cholinergic neurons
Serinc,5.80845,1.0297565,6.305376822935464e-09,6.051672290926013e-07,0.5339168490153173,Male,Central brain B cholinergic neurons
28SrRNA-Psi:CR40596,5.2462955,3.3378913,1.551878965948301e-07,1.1326857913738827e-05,0.23413566739606126,Male,Central brain B cholinergic neurons
CG10098,5.2401223,1.0747552,1.6047017576880906e-07,1.1642684359797701e-05,0.4638949671772429,Male,Central brain B cholinergic neurons
MED21,5.2272506,2.0960162,1.7204926336486114e-07,1.2408925864818299e-05,0.2800875273522976,Male,Central brain B cholinergic neurons
Alat,5.181674,1.0484394,2.1990329764330471e-07,1.540460514353012e-05,0.4617067833698031,Male,Central brain B cholinergic neurons
Cdc14,5.079225,1.1185514,3.7897714224162454e-07,2.566306881546201e-05,0.43982494529540483,Male,Central brain B cholinergic neurons
CRMP,4.834924,1.585888,1.3319625223694994e-06,7.586584665963471e-05,0.3085339168490153,Male,Central brain B cholinergic neurons
RNaseMRP:RNA,4.403195,4.3240952,1.0666828619904861e-05,0.0005078827111250795,0.1838074398249453,Male,Central brain B cholinergic neurons
CG5934,4.314012,1.7602851,1.603183200349364e-05,0.0007291492548156119,0.2603938730853392,Male,Central brain B cholinergic neurons
CG5282,4.2823577,1.3225124,1.849232675697365e-05,0.0008286873927968818,0.3172866520787746,Male,Central brain B cholinergic neurons
28SrRNA-Psi:CR45859,3.9048736,2.274909,9.427464655736186e-05,0.003430190050410996,0.2013129102844639,Male,Central brain B cholinergic neurons
CG32982,3.895548,1.113779,9.79768999652353e-05,0.003554287004988848,0.34573304157549234,Male,Central brain B cholinergic neurons
side-VII,3.797959,1.1523793,0.0001458923690455599,0.005023395724000931,0.3063457330415755,Male,Central brain B cholinergic neurons
SREBP,3.7745798,1.5369505,0.0001602775949782928,0.005472335028544569,0.24070021881838075,Male,Central brain B cholinergic neurons
