gene,sex_effect,treatment_effect,interaction,interaction_p,treatment_p,interaction_padj,treatment_padj
TM9SF2,0.16635453701019304,-0.11751949787139893,-0.14709925651550293,0.32800820734156727,0.1499128923237093,0.7954304837132149,0.5304875868485698
Vha14-1,0.3089337348937995,-0.27918291091919034,-0.28707313537597745,0.32817662966286004,0.09641931412220338,0.7956335884783013,0.5110278030492641
sax,0.3172962665557866,-0.1996219158172612,-0.21124267578125044,0.32834963961618485,0.10339351540876363,0.7958477078858109,0.515602938009714
CG9444,0.5658065415918829,0.16427202150225623,0.19333211332559586,0.3285350378643183,0.13184275159216174,0.7959424891790626,0.5231632255748121
Nasp,0.3004362583160407,-0.22131466865539684,-0.1795415878295903,0.3285581478690629,0.0518603964773042,0.7959424891790626,0.49656454088223223
CG17121,0.6177823692560198,0.015997841954231096,-0.39483013749122625,0.32876520419396166,0.9325770779614541,0.7959821992618231,0.9731917949823147
mRpL49,0.23438000679016183,-0.20826888084411754,-0.3071346282958989,0.32877772338958106,0.2062890066691323,0.7959821992618231,0.5531682783503795
lncRNA:CR44771,-0.11637117713689801,0.06467091292142865,0.13297073543071744,0.3288286578199848,0.34062543424460157,0.7959821992618231,0.6443408132750883
CG7148,-0.07929831743240329,0.12977844476699762,0.5535472631454463,0.32903133375418026,0.6300575971260088,0.796262646802717,0.8136115487416662
CG7275,0.17345827817916884,-0.1584373116493225,-0.38566744327545166,0.3291275731835607,0.41325581292656327,0.796262646802717,0.6887841209774592
CG42324,-0.10777711868286126,0.08390974998474121,0.2675004005432129,0.32919872116936844,0.5245123752949042,0.796262646802717,0.7568098673135066
18w,-0.29406428337097135,0.43276977539062456,0.42640542984008745,0.3294129144734486,0.08743494773003643,0.7965756966821916,0.508227852732338
TFAM,0.2454074621200566,-0.1509863138198857,-0.3187372684478764,0.32965925083362435,0.3527399796430959,0.7969662927922737,0.6533998795005267
Dh44-R2,-0.31784594058990456,0.1465762853622432,0.1722934246063228,0.32980470972002046,0.13234714732410327,0.7969696687271566,0.5231632255748121
Sarm,-0.15866488218307473,0.21406918764114358,-0.2666803598403933,0.3298302694136333,0.1497673242316576,0.7969696687271566,0.5304875868485698
asRNA:CR43936,0.015799388289451648,-0.16100686788558968,-0.21724390983581546,0.33005888477804324,0.17591015839386442,0.7973170540512268,0.5412700262593162
Uhg4,0.06455314159393344,-0.22106468677520796,0.3239834308624263,0.3302995254427368,0.20531947841986029,0.7975786463328424,0.5523581845724097
CG11426,-0.26425316929817194,-0.2042413055896759,-0.334090054035187,0.33039011737815327,0.24733420351679566,0.7975786463328424,0.5746839005977968
CG13606,0.5136122424155475,0.3176650833338498,0.5463419891893864,0.3304218016573114,0.2674622966329603,0.7975786463328424,0.5878327514434093
CG10365,-0.17198818922042824,-0.04757565259933494,-0.18549525737762496,0.3305239564689349,0.6006137559689836,0.7976203438465798,0.7957689089242828
Cox17,0.0190505981445315,-0.13202261924743652,0.22837686538696245,0.330696683777369,0.2700728898078513,0.7976514368686952,0.588355530412725
lncRNA:noe,-0.40055227279662997,0.27708816528320135,-0.26352882385254084,0.3307066082835412,0.0805919837594671,0.7976514368686952,0.5062397502929703
Dlat,0.4373360872268679,-0.24890458583831787,-0.23222327232360884,0.33082571219242024,0.07677351640981088,0.7977339536751791,0.5037469217091617
