names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CG10628,-1.7382754,-0.3950617,0.08216229214682598,0.3011052853210048,0.045243128964059194
CG11127,-1.7394352,-0.422772,0.08195824919116172,0.3004478494409234,0.03617571059431524
asRNA:CR45951,-1.7469168,-0.5729945,0.08065177150878322,0.2964229869531686,0.030021141649048625
CG14100,-1.7512252,-0.4516576,0.07990712747431669,0.2941673140393978,0.033168898285177356
dbe,-1.7533866,-0.45121437,0.07953567689667788,0.2928883280041108,0.03476626732440686
CG13625,-1.7548964,-0.33555388,0.07927703013579361,0.2920240919689297,0.055579046276720695
Usp30,-1.7554303,-0.21922825,0.07918571712038892,0.29182413955065306,0.12111815832746066
Cyt-b5,-1.7575103,-0.14519282,0.07883087360938053,0.29082007216245137,0.21291989664082686
Golgin97,-1.7600361,-0.20777905,0.0784016878768256,0.2893243032184763,0.10350011745360582
CG43066,-1.7688031,-0.07607662,0.0769267281409262,0.28422548933305536,0.3940803382663848
GCS1,-1.7688859,-0.33921784,0.07691291993484121,0.28422548933305536,0.06126380079868452
Cks85A,-1.7701373,-0.31517333,0.07670426591708703,0.28366149795612067,0.06145172656800564
CG1418,-1.7766854,-0.43686807,0.07562003126661705,0.2799066386604298,0.042095372327930466
ear,-1.776902,-0.21623252,0.07558437619160932,0.2798596480557491,0.13507164669955368
mRpL19,-1.7771095,-0.2789759,0.07555021681420598,0.2798181685652862,0.06967347897580456
p120ctn,-1.7797971,-0.04884649,0.07510916760997698,0.27826919270456213,0.47394879022786
CG17108,-1.780024,-2.035555,0.07507203391685636,0.278216181639575,0.003852478271082922
CG13919,-1.7826124,-0.45860544,0.07464940825541103,0.27698679976414153,0.036128729151984965
mre11,-1.7865789,-0.40339676,0.07400556958179293,0.27476511959563626,0.046464646464646465
CG8132,-1.7876457,-0.2774539,0.07383318917622456,0.27420863585283395,0.0819826168663378
lncRNA:CR45979,-1.7885069,-0.5151205,0.07369426716749357,0.27377611170514454,0.033027953958186515
GstE12,-1.7892272,-0.32073507,0.07357823366116942,0.27351176886123635,0.05858585858585859
CG31098,-1.7898206,-0.37263998,0.07348276176193211,0.2732402022929196,0.04947145877378435
f-cup,-1.794665,-0.36176777,0.07270708967614145,0.27060357742366054,0.04918957011980268
SerRS,-1.7980373,-0.40238592,0.07217110164284547,0.2688549993657223,0.041578576462297394
CG8243,-1.7987769,-0.3372438,0.07205398894967993,0.2685828964243574,0.06596194503171247
adp,-1.7989275,-0.45441592,0.0720301445544256,0.2685761492731397,0.03692741367159972
CG14881,-1.8025385,-0.50204855,0.07146071636095973,0.26677937878215563,0.032276250880902045
Rpn3,-1.8057139,-0.27273157,0.07096304982317174,0.26524643185974867,0.07192858820765798
mRpS23,-1.8083847,-0.2871866,0.07054665895522733,0.26393285021647206,0.0831101714822645
EloA,-1.8085108,-0.26024252,0.07052704465112206,0.26393285021647206,0.0794456189805027
colt,-1.810947,-0.47938374,0.07014907246483695,0.2626065860792069,0.035377026074700495
Lint-O,-1.8128756,-0.6389666,0.06985100103878114,0.261651460252521,0.023960535588442564
CG7182,-1.8128769,-0.71377295,0.06985081151619323,0.261651460252521,0.02428940568475452
Pur-alpha,-1.8139633,-0.022971284,0.06968337553364826,0.2611840911376503,0.5693680996006577
Socs44A,-1.8159138,-0.27133173,0.06938360021505553,0.2602205240065575,0.08583509513742071
Mys45A,-1.8193012,-0.3801624,0.0688654915191072,0.2585160074303658,0.05088090204369274
CG7550,-1.8206992,-0.57391995,0.0686525876940758,0.25787562138770104,0.029222457129433874
ttm50,-1.8257054,-0.32921666,0.06789464468006969,0.2551858846763396,0.0638477801268499
CG8209,-1.8282894,-0.3319421,0.06750612933565202,0.2539369557368741,0.06685459243598778
U2A,-1.8294156,-0.6071314,0.0673373813363638,0.25348219305402664,0.026826403570589616
CG4287,-1.8373427,-0.21489483,0.06615931632432785,0.24943269615751074,0.11811134601832277
CG8892,-1.8435439,-0.44822893,0.06524964570490598,0.24638411756415707,0.03941743011510453
Nap1,-1.8451327,-0.12870044,0.06501823370603683,0.2455863807384205,0.23368569415081042
CG30291,-1.8494849,-0.4121191,0.06438782074921207,0.2434314972432214,0.04402161146347193
CG7706,-1.8499329,-0.45310766,0.06432321617162391,0.2433382004704916,0.044632370213765565
CG1635,-1.8503997,-0.26968884,0.06425595207328477,0.24315920516028192,0.09396288466055908
GCC88,-1.8533543,-0.31710714,0.06383158667272633,0.24177849905340623,0.06323702137655626
Polr1G,-1.8535931,-0.18402736,0.06379739761554822,0.24172411549142594,0.17622739018087855
CG12170,-1.8541464,-0.44790873,0.06371822861875989,0.24153806954672347,0.042095372327930466
Tmx3,-1.8571033,-0.25506222,0.06329645079887695,0.2403490463512496,0.10364106178059666
Clbn,-1.8576337,-0.2195142,0.06322105451774669,0.24013756108345727,0.08447263330984262
CG3021,-1.857777,-0.49714786,0.06320068989013827,0.24013504023406962,0.03725628376791167
cN-IIIB,-1.8591837,-0.47797513,0.06300111317333555,0.23952606627254744,0.03890063424947146
CG4820,-1.8601096,-0.550666,0.06287003148629129,0.23910228199263794,0.03067888184167254
Txl,-1.8605599,-0.3860678,0.0628063404636976,0.23893460796254995,0.057035470988959364
CG2811,-1.860607,-0.2443881,0.06279968493804122,0.23893460796254995,0.09603006812309138
mago,-1.861053,-0.25273633,0.0627366889056976,0.23881870739273828,0.09170777542870566
CG12071,-1.8612775,-0.1379938,0.06270500819099838,0.2387726788003996,0.257646229739253
CG17141,-1.8624588,-0.55739367,0.06253844001843632,0.23821282668272512,0.026920366455250175
CG3760,-1.8654457,-0.34178582,0.06211894568691204,0.23668891184050356,0.07066008926474043
Nkap,-1.866205,-0.40043867,0.06201268988045337,0.23643186642253555,0.0463706835799859
sax,-1.868913,-0.4053165,0.0616349121788677,0.23513863679130464,0.051585623678646934
Ist1,-1.868941,-0.2579363,0.06163103749325445,0.23513863679130464,0.09151984965938455
nero,-1.8711256,-0.45591825,0.0613276735184281,0.2341130637382149,0.04359877848249941
CG5516,-1.8736739,-0.35665432,0.06097537867712373,0.23298711307067746,0.04895466290815128
Rai1,-1.8753505,-0.6385272,0.0607445257336891,0.23217780626150408,0.028611698379140238
sds22,-1.8754549,-0.38353795,0.06073017075546016,0.23217780626150408,0.05041108762038995
