names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
pyr,0.44253725,0.18180746,0.6581004892552116,1.0,0.025104957380942285
brk,0.44143173,0.2822036,0.6589004755195225,1.0,0.013951910436368262
CG2818,0.4407504,0.088801384,0.6593937071613822,1.0,0.038081506297442856
chp,0.44032812,1.1762005,0.6596994809666654,1.0,0.004707179508926678
CG6231,0.44023153,0.2878538,0.6597694192895633,1.0,0.016453924769941904
Cyp9f2,0.44019026,0.3900216,0.6597993154014594,1.0,0.008863067724015097
AANATL7,0.4394775,0.25548664,0.660315588948579,1.0,0.013358212119927059
CG31898,0.4386333,0.9448555,0.6609272613570154,1.0,0.004749586531529622
CG6282,0.4383917,0.046025474,0.6611023802356767,1.0,0.10635681268818116
CG13252,0.43638518,0.7643791,0.6625572964426389,1.0,0.005724948051397311
Elk,0.43619165,0.06916961,0.6626976927475359,1.0,0.06445867435647343
CG2611,0.43597198,0.073370345,0.662857061035474,1.0,0.03663966752894279
CG8321,0.435619,0.032807097,0.6631131813534483,1.0,0.08659514015520971
SH3PX1,0.43451008,0.15086259,0.6639180729656932,1.0,0.02616513294601586
moody,0.43408817,0.28187397,0.6642244075496386,1.0,0.009626394130868072
eIF3k,0.43363106,0.036135353,0.6645563791751661,1.0,0.14740681056783003
Rh5,0.43273878,0.5826229,0.6652045597377255,1.0,0.0067427165938679446
Prp8,0.43191466,0.12383586,0.6658034412451777,1.0,0.04953140240023748
eIF5,0.43168628,0.053844027,0.6659694374195111,1.0,0.0903269581442687
CG7272,0.43168098,0.11385398,0.6659732915881288,1.0,0.04872566897078156
CG15211,0.43134087,0.8941006,0.6662205274017212,1.0,0.005300877825367881
ush,0.43131626,0.32591718,0.6662384244978161,1.0,0.011280268012382851
Mekk1,0.4305501,0.09263876,0.6667955321450207,1.0,0.03909927483991349
escl,0.4298487,0.625978,0.6673057098003468,1.0,0.008396590475382723
Grip71,0.4294321,0.3182627,0.6676088039220478,1.0,0.011322675034985793
Pdxk,0.42938474,0.075928606,0.6676432498680093,1.0,0.04211017344472245
KaiR1D,0.42786416,0.07963225,0.6687500257505641,1.0,0.05627411899410542
tgo,0.42761344,0.10537055,0.6689325820627816,1.0,0.03689410966456045
lncRNA:let7C,0.42619094,0.07802296,0.6699687250215471,1.0,0.05665578219753191
foi,0.42596105,0.090939835,0.670136233134575,1.0,0.060472414231796785
Alp4,0.42585802,0.547306,0.670211299753363,1.0,0.007887706204147407
pbl,0.4248775,0.616503,0.6709259772945433,1.0,0.0076332640685297486
PGAP2,0.4244541,0.08873179,0.6712346864227203,1.0,0.05691022433314957
sowah,0.42375192,0.10982252,0.6717467467383763,1.0,0.04707179508926678
Ork1,0.42351902,0.92557836,0.671916638601407,1.0,0.004961621644544337
MCU,0.42349967,0.08531969,0.6719307279475788,1.0,0.08248165896272423
CycC,0.42269376,0.057027254,0.6725187155021692,1.0,0.03545227089606039
CG17359,0.42220935,0.22832374,0.6728722123280169,1.0,0.01853186887748611
lncRNA:CR45473,0.42211163,0.18529682,0.6729435285066195,1.0,0.024935329290530512
yem,0.41959423,0.24094717,0.6747819001058304,1.0,0.018362240787074338
sev,0.4195575,1.0396119,0.6748087419600663,1.0,0.004495144395911963
SMC3,0.4190451,0.08501399,0.675183187437201,1.0,0.06937788897841482
CG16758,0.4186531,0.32497966,0.6754696800615507,1.0,0.012637292735677028
CG6788,0.41797328,0.64341795,0.6759666555443662,1.0,0.0069547517068826595
CG13077,0.4175063,0.65904456,0.6763081138567693,1.0,0.008226962384970952
su(Hw),0.41745973,0.0887233,0.6763421802612428,1.0,0.04359441923582545
tef,0.4170325,0.19211376,0.676654625005312,1.0,0.01865908994529494
CG6421,0.41561532,1.7100976,0.6776915200653242,1.0,0.003434968830838387
GstE1,0.4146416,0.5798259,0.6784042893093112,1.0,0.006445867435647343
RanBPM,0.41419888,0.0310322,0.6787284713654856,1.0,0.13896781306984438
lncRNA:roX1,0.41389853,0.009022583,0.6789484165656732,1.0,0.9824858996649846
CG7191,0.41251618,0.4624606,0.679961126977422,1.0,0.010177685424706331
CG12299,0.41250595,0.077893235,0.6799686204142494,1.0,0.04613884059200204
Hyls1,0.41227832,0.39104426,0.6801354269485392,1.0,0.008311776430176837
Lsm11,0.41218668,0.90826684,0.68020259806065,1.0,0.005046435689750222
CG7523,0.41197118,0.055120654,0.6803605434409644,1.0,0.03702133073236928
Mybbp1A,0.41082174,0.2098185,0.681203248058756,1.0,0.0189135320809126
CG7369,0.4107566,0.0990418,0.681251017874706,1.0,0.046435689750222636
Neto,0.4099037,0.0952296,0.6818765870505621,1.0,0.0536872906153259
twf,0.40958822,0.07494709,0.6821080364172178,1.0,0.04825919172214919
cher,0.4092966,0.92345446,0.6823220078120268,1.0,0.005767355074000255
CG2233,0.4088425,0.58225584,0.6826552426856202,1.0,0.0069547517068826595
az2,0.40873381,0.16946043,0.6827350170102056,1.0,0.020397777872015604
CG17544,0.4087319,0.09564947,0.6827364068382145,1.0,0.029600101776854248
CG7381,0.40691933,0.22139421,0.6840672429190043,1.0,0.02311182731860396
Tab2,0.40687767,0.42288145,0.6840978420173882,1.0,0.007590857045926805
Prosalpha1,0.4067394,1.0374455,0.6841993791049876,1.0,0.004325516305500191
CG1116,0.4065512,0.10746524,0.6843376456336561,1.0,0.027606971714515923
CG12065,0.40644214,0.26835763,0.6844177727302685,1.0,0.014545608752809466
E23,0.40556273,0.6010343,0.6850639271547689,1.0,0.006149018277426742
snoRNA:Psi28S-1153,0.40505332,2.7386281,0.6854383124082137,1.0,0.0025868283787795258
cold,0.40497077,0.08513882,0.6854990007158476,1.0,0.03269581442686909
CG41378,0.40468824,0.09000531,0.6857066925690136,1.0,0.02518977142614817
Ravus,0.40425685,0.19374831,0.6860238443001567,1.0,0.02909121750561893
CG31869,0.40358347,0.673609,0.6865190345431775,1.0,0.006233832322632628
c12.2,0.40287942,0.16593167,0.6870369279994237,1.0,0.01908316017132437
BEAF-32,0.40196857,0.014509417,0.6877071479777592,1.0,0.15317416564183028
SmydA-8,0.40110394,0.40584826,0.6883435963514533,1.0,0.008693439633603325
Cse1,0.40086004,0.23630662,0.688523168813421,1.0,0.016538738815147787
CtsL1,0.40001813,0.024475135,0.6891431632645588,1.0,0.20117891522836182
Dr,0.39878273,0.4148199,0.690053312654471,1.0,0.00848140452058861
lncRNA:CR45660,0.39870697,0.505004,0.6901091304096056,1.0,0.007590857045926805
CG32532,0.39849904,0.21884182,0.6902623588113759,1.0,0.01785335651583902
axo,0.3983964,0.07346913,0.690338000827172,1.0,0.02773419278232475
CG10366,0.39823774,0.083089106,0.6904549589615615,1.0,0.043339977100207795
ana1,0.39778817,0.1933555,0.6907863339411804,1.0,0.018447054832280225
GstD11,0.39755866,0.3321224,0.6909555339128264,1.0,0.01153471014800051
CG5114,0.39752156,0.21203975,0.6909828977349348,1.0,0.016920402018574275
CG7101,0.39724356,0.20101555,0.6911878600119616,1.0,0.017217251176794877
l(3)72Dp,0.39664668,0.5801086,0.691628018961983,1.0,0.00737882193291209
Wnt10,0.39617705,0.2691101,0.6919744101831987,1.0,0.01306136296170646
twe,0.39593014,0.7083927,0.692156570781018,1.0,0.005894576141809084
CG13982,0.3958078,0.10327242,0.6922468195153342,1.0,0.04707179508926678
CG17186,0.3947235,0.24941541,0.6930469550771462,1.0,0.011873966328824053
LBR,0.39389637,0.4015506,0.693657557789186,1.0,0.008947881769220983
kel,0.393618,0.13882202,0.6938630938525567,1.0,0.0356643060090751
Ptip,0.39166793,0.075133905,0.6953035956325446,1.0,0.04062592765361944
lncRNA:CR44023,0.39099264,0.20216338,0.6958026705783178,1.0,0.01865908994529494
fal,0.3895902,0.22940466,0.6968395886303125,1.0,0.016920402018574275
HDAC11,0.38898727,0.0839972,0.6972855564781771,1.0,0.06416182519825284
CG15890,0.388565,1.6214373,0.6975979643467338,1.0,0.0031381196726177857
Mfap1,0.38834912,0.099861935,0.6977576904168227,1.0,0.05881854035028201
Tsr1,0.38832715,0.17699775,0.6977739439957455,1.0,0.021797209617912726
hry,0.38641495,0.47578412,0.6991893766932246,1.0,0.008311776430176837
ZnT86D,0.38559198,0.19570705,0.6997988761080249,1.0,0.017005216063780162
CG34347,0.38528597,0.13784677,0.7000255593935873,1.0,0.043255163055001905
Ptr,0.3848186,1.2485204,0.7003718079660082,1.0,0.003562189898647216
Pdrg1,0.3828193,0.17619592,0.7018537470432717,1.0,0.015563377295280099
CG12814,0.38115063,1.2561522,0.7030914834868758,1.0,0.003689410966456045
ATPsynCF6L,0.3799599,0.83675426,0.7039751796693937,1.0,0.0046223654637207925
Polr3F,0.3796376,0.07363454,0.7042144423303682,1.0,0.032314151223442604
D19A,0.3780174,0.08564753,0.7054176652804276,1.0,0.04317034900979602
wdp,0.3779265,0.3359497,0.7054851891320904,1.0,0.009159916882235698
CycE,0.37763035,0.5537579,0.7057052204385041,1.0,0.006191425300029685
CG8460,0.3762707,0.27191648,0.7067156541514974,1.0,0.01530893515966244
mld,0.3752705,0.09841013,0.7074593145495167,1.0,0.05525635045163479
Ugt49C1,0.3750656,1.273698,0.7076116853640111,1.0,0.0039014460794707605
IntS12,0.3741752,0.45025635,0.7082739724784033,1.0,0.008735846656206268
Cyp28d2,0.37403357,0.5175795,0.7083793502927267,1.0,0.008142148339765065
bnl,0.37399265,0.40234122,0.708409781288772,1.0,0.009032695814426868
