group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
27,lncRNA:CR45312,25.364052,3.572755,6.289247998918242e-142,1.533192877176289e-138,0.8469827586206896,0.22512337685065276
28,jdp,32.179417,4.2521186,3.425910986580784e-227,4.175842901543318e-223,0.9929742388758782,0.6302507288629737
28,14-3-3zeta,31.649923,1.9734775,7.601808392575462e-220,4.632922124855115e-216,0.9953161592505855,0.940198250728863
28,Tomosyn,29.191805,3.015261,2.464090694508598e-187,1.0011600491788433e-183,0.9882903981264637,0.6429620991253644
28,Nep1,29.1089,6.3045726,2.7698654132971826e-186,8.44047238066984e-183,0.8430913348946136,0.04331195335276968
28,CG14989,28.54976,5.191897,2.8282798069375542e-179,6.894780513352369e-176,1.0,0.5365714285714286
29,VGlut1,24.997644,4.713828,6.484703389271267e-138,7.904204961182747e-134,0.9870967741935484,0.3533720754189619
29,CG43689,21.419008,4.854174,8.88619659180017e-102,5.415692512872614e-98,0.7741935483870968,0.07709597400631209
29,Lmx1a,19.635504,6.0842996,7.691488985468456e-86,3.125051974795834e-82,0.6645161290322581,0.025388100201474372
29,disco-r,19.176594,4.873779,5.806251809190004e-82,1.769310082555424e-78,0.6774193548387096,0.04901766685688332
29,Ggamma30A,18.892994,1.643251,1.3024718349129083e-79,3.1751658391506876e-76,0.9935483870967742,0.8913668813397464
3,vvl,45.614845,5.496252,0.0,0.0,0.8710601719197708,0.14806766122401033
3,nAChRalpha6,26.500603,1.6455941,9.538749240425712e-155,3.875593816384967e-151,0.8691499522445081,0.6934923058851169
3,CG42541,25.925207,1.9654692,3.462265089138255e-148,7.033591528584365e-145,0.8213944603629417,0.5903794197110301
3,pyd,24.25584,3.1866028,5.73749646253971e-130,6.993434438189652e-127,0.5530085959885387,0.21629272876776695
3,Cph,23.76404,2.717304,7.86645854173211e-125,8.71675119683388e-122,0.5807067812798472,0.2351814871373194
4,VGlut1,108.87281,4.5561275,0.0,0.0,0.901232931194485,0.30331663148256477
4,cpx,65.57948,1.0502353,0.0,0.0,0.9741482168898317,0.930551669761172
4,CG34355,40.83013,1.8802128,0.0,0.0,0.4759379557205356,0.240697408245797
4,CG32017,37.775394,1.0929943,0.0,0.0,0.6645896858014053,0.5324668718366101
4,Bacc,37.16669,0.4767075,2.356834376043001e-302,2.611586746326195e-299,0.9436563701445049,0.9335020474603861
5,lncRNA:CR34335,32.227646,2.7309809,7.237500434123146e-228,8.821789279152703e-224,0.9942446043165467,0.9739360333169557
5,CG13631,25.875399,5.2943373,1.2602396744898047e-147,5.120353797452077e-144,0.6129496402877698,0.06938302800589598
5,eEF1alpha1,24.608223,2.9157934,1.0314490340937033e-133,2.0953887127613584e-130,0.739568345323741,0.36805409325939964
5,CG15201,21.82213,4.471976,1.4303818417308553e-105,7.580401856024956e-103,0.5798561151079137,0.16300507709225334
5,CG42489,21.128696,7.3074102,4.333411429888294e-99,1.8213776523761521e-96,0.4719424460431655,0.01110175241571325
6,VGlut1,90.692154,3.339526,0.0,0.0,0.7875012167818554,0.2972043634064081
6,IA-2,76.352425,1.45703,0.0,0.0,0.984619877348389,0.9060655564924115
6,CG2269,70.76552,1.5818856,0.0,0.0,0.8810474058210844,0.6735349915682968
6,lncRNA:mimi,70.250404,1.2819965,0.0,0.0,0.9971770660955904,0.9553383220910624
6,bru3,67.72277,1.7999375,0.0,0.0,0.8385087121580843,0.5457024662731872
7,CG31221,84.511734,2.3206728,0.0,0.0,0.9578273349525281,0.7176182263774167
7,IA-2,80.46139,1.5988774,0.0,0.0,0.9928240229631266,0.9063395531581063
7,lncRNA:Hsromega,80.28179,1.4102354,0.0,0.0,0.9938176197836167,0.9368897418275652
7,jeb,79.642876,2.3865151,0.0,0.0,0.8180613822035769,0.43758347488945654
7,bru3,72.75023,2.0319376,0.0,0.0,0.8928019430337822,0.5439385884153062
8,Vmat,61.796803,8.2365885,0.0,0.0,0.8389963408259279,0.05132678249311687
8,ple,46.453926,7.994348,0.0,0.0,0.6272869837950863,0.013896800531662394
8,DAT,44.056095,7.159797,0.0,0.0,0.6006272869837951,0.024138422101965252
8,CG42342,26.578548,1.7030092,1.201761686803714e-155,3.6620683001126174e-152,0.694720334553058,0.40771859868983196
8,bru3,25.734278,1.4911337,4.834555157021708e-146,1.178567856178752e-142,0.8478829064296916,0.574539542390582
9,disco,52.313892,5.9857697,0.0,0.0,0.7509859154929578,0.04028340560650222
9,disco-r,47.42066,5.710703,0.0,0.0,0.683943661971831,0.037973033814364586
9,CG31221,33.79908,1.9631165,2.0344700336364546e-250,8.266051746664915e-247,0.9509859154929577,0.7384896092509656
9,Dop2R,28.282614,1.7190675,5.655320629084931e-176,1.7233175786979057e-172,0.9301408450704225,0.7189877017132296
9,eys,23.117018,1.6110086,3.1222338331084065e-118,7.611381638351673e-115,0.6416901408450705,0.3766498424207957
